Date,Time (GMT),Verified (m)
2024/02/04,03:00,8.08
2024/02/04,04:00,7.11
2024/02/04,05:00,6.13
2024/02/04,06:00,5.37
2024/02/04,07:00,4.97
2024/02/04,08:00,5.04
2024/02/04,09:00,5.68
2024/02/04,10:00,6.85
2024/02/04,11:00,8.17
2024/02/04,12:00,9.09
2024/02/04,13:00,9.34
2024/02/04,14:00,9.05
2024/02/04,15:00,8.41
2024/02/04,16:00,7.56
2024/02/04,17:00,6.62
2024/02/04,18:00,5.79
2024/02/04,19:00,5.24
2024/02/04,20:00,5.06
2024/02/04,21:00,5.34
2024/02/04,22:00,6.15
2024/02/04,23:00,7.31
2024/02/05,00:00,8.39
2024/02/05,01:00,9.03
2024/02/05,02:00,9.15
2024/02/05,03:00,8.86
2024/02/05,04:00,8.25
2024/02/05,05:00,7.42
2024/02/05,06:00,6.53
2024/02/05,07:00,5.76
2024/02/05,08:00,5.26
2024/02/05,09:00,5.13
2024/02/05,10:00,5.52
2024/02/05,11:00,6.42
2024/02/05,12:00,7.57
2024/02/05,13:00,8.52
2024/02/05,14:00,9.03
2024/02/05,15:00,9.06
2024/02/05,16:00,8.67
2024/02/05,17:00,7.96
2024/02/05,18:00,7.08
2024/02/05,19:00,6.24
2024/02/05,20:00,5.56
2024/02/05,21:00,5.16
2024/02/05,22:00,5.17
2024/02/05,23:00,5.7
2024/02/06,00:00,6.67
2024/02/06,01:00,7.84
2024/02/06,02:00,8.79
2024/02/06,03:00,9.3
2024/02/06,04:00,9.3
2024/02/06,05:00,8.83
2024/02/06,06:00,8
2024/02/06,07:00,7
2024/02/06,08:00,6.01
2024/02/06,09:00,5.21
2024/02/06,10:00,4.77
2024/02/06,11:00,4.87
2024/02/06,12:00,5.59
2024/02/06,13:00,6.79
2024/02/06,14:00,8.1
2024/02/06,15:00,9.09
2024/02/06,16:00,9.51
2024/02/06,17:00,9.33
2024/02/06,18:00,8.65
2024/02/06,19:00,7.68
2024/02/06,20:00,6.62
2024/02/06,21:00,5.62
2024/02/06,22:00,4.88
2024/02/06,23:00,4.58
2024/02/07,00:00,4.86
2024/02/07,01:00,5.87
2024/02/07,02:00,7.37
2024/02/07,03:00,8.85
2024/02/07,04:00,9.84
2024/02/07,05:00,10.1
2024/02/07,06:00,9.64
2024/02/07,07:00,8.65
2024/02/07,08:00,7.36
2024/02/07,09:00,6
2024/02/07,10:00,4.83
2024/02/07,11:00,4.07
2024/02/07,12:00,3.92
2024/02/07,13:00,4.58
2024/02/07,14:00,6.07
2024/02/07,15:00,7.93
2024/02/07,16:00,9.49
2024/02/07,17:00,10.29
2024/02/07,18:00,10.23
2024/02/07,19:00,9.45
2024/02/07,20:00,8.21
2024/02/07,21:00,6.77
2024/02/07,22:00,5.39
2024/02/07,23:00,4.32
2024/02/08,00:00,3.72
2024/02/08,01:00,3.89
2024/02/08,02:00,5.08
2024/02/08,03:00,7.11
2024/02/08,04:00,9.22
2024/02/08,05:00,10.66
2024/02/08,06:00,11.08
2024/02/08,07:00,10.49
2024/02/08,08:00,9.2
2024/02/08,09:00,7.5
2024/02/08,10:00,5.74
2024/02/08,11:00,4.25
2024/02/08,12:00,3.24
2024/02/08,13:00,2.89
2024/02/08,14:00,3.61
2024/02/08,15:00,5.54
2024/02/08,16:00,8.04
2024/02/08,17:00,10.16
2024/02/08,18:00,11.25
2024/02/08,19:00,11.15
2024/02/08,20:00,10.12
2024/02/08,21:00,8.52
2024/02/08,22:00,6.66
2024/02/08,23:00,4.94
2024/02/09,00:00,3.6
2024/02/09,01:00,2.8
2024/02/09,02:00,2.93
2024/02/09,03:00,4.48
2024/02/09,04:00,7.14
2024/02/09,05:00,9.86
2024/02/09,06:00,11.65
2024/02/09,07:00,12.04
2024/02/09,08:00,11.19
2024/02/09,09:00,9.51
2024/02/09,10:00,7.4
2024/02/09,11:00,5.31
2024/02/09,12:00,3.61
2024/02/09,13:00,2.38
2024/02/09,14:00,1.9
2024/02/09,15:00,2.83
2024/02/09,16:00,5.31
2024/02/09,17:00,8.45
2024/02/09,18:00,11.02
2024/02/09,19:00,12.2
2024/02/09,20:00,11.9
2024/02/09,21:00,10.52
2024/02/09,22:00,8.52
2024/02/09,23:00,6.31
2024/02/10,00:00,4.37
2024/02/10,01:00,2.86
2024/02/10,02:00,1.9
2024/02/10,03:00,2.16
2024/02/10,04:00,4.21
2024/02/10,05:00,7.52
2024/02/10,06:00,10.73
2024/02/10,07:00,12.64
2024/02/10,08:00,12.81
2024/02/10,09:00,11.59
2024/02/10,10:00,9.53
2024/02/10,11:00,7.1
2024/02/10,12:00,4.81
2024/02/10,13:00,2.97
2024/02/10,14:00,1.57
2024/02/10,15:00,1.09
2024/02/10,16:00,2.4
2024/02/10,17:00,5.49
2024/02/10,18:00,9.17
2024/02/10,19:00,11.95
2024/02/10,20:00,12.97
2024/02/10,21:00,12.31
2024/02/10,22:00,10.55
2024/02/10,23:00,8.21
2024/02/11,00:00,5.79
2024/02/11,01:00,3.74
2024/02/11,02:00,2.11
2024/02/11,03:00,1.14
2024/02/11,04:00,1.75
2024/02/11,05:00,4.41
2024/02/11,06:00,8.28
2024/02/11,07:00,11.72
2024/02/11,08:00,13.45
2024/02/11,09:00,13.22
2024/02/11,10:00,11.61
2024/02/11,11:00,9.25
2024/02/11,12:00,6.63
2024/02/11,13:00,4.28
2024/02/11,14:00,2.35
2024/02/11,15:00,0.88
2024/02/11,16:00,0.63
2024/02/11,17:00,2.49
2024/02/11,18:00,6.15
2024/02/11,19:00,10.12
2024/02/11,20:00,12.76
2024/02/11,21:00,13.35
2024/02/11,22:00,12.27
2024/02/11,23:00,10.19
2024/02/12,00:00,7.63
2024/02/12,01:00,5.16
2024/02/12,02:00,3.11
2024/02/12,03:00,1.47
2024/02/12,04:00,0.73
2024/02/12,05:00,1.89
2024/02/12,06:00,5.16
2024/02/12,07:00,9.33
2024/02/12,08:00,12.62
2024/02/12,09:00,13.85
2024/02/12,10:00,13.14
2024/02/12,11:00,11.23
2024/02/12,12:00,8.69
2024/02/12,13:00,6.04
2024/02/12,14:00,3.73
2024/02/12,15:00,1.8
2024/02/12,16:00,0.48
2024/02/12,17:00,0.73
2024/02/12,18:00,3.22
2024/02/12,19:00,7.25
2024/02/12,20:00,11.1
2024/02/12,21:00,13.21
2024/02/12,22:00,13.21
2024/02/12,23:00,11.75
2024/02/13,00:00,9.47
2024/02/13,01:00,6.88
2024/02/13,02:00,4.51
2024/02/13,03:00,2.57
2024/02/13,04:00,1.13
2024/02/13,05:00,0.88
2024/02/13,06:00,2.7
2024/02/13,07:00,6.37
2024/02/13,08:00,10.43
2024/02/13,09:00,13.13
2024/02/13,10:00,13.69
2024/02/13,11:00,12.55
2024/02/13,12:00,10.47
2024/02/13,13:00,7.92
2024/02/13,14:00,5.39
2024/02/13,15:00,3.24
2024/02/13,16:00,1.5
2024/02/13,17:00,0.63
2024/02/13,18:00,1.54
2024/02/13,19:00,4.52
2024/02/13,20:00,8.53
2024/02/13,21:00,11.8
2024/02/13,22:00,13.11
2024/02/13,23:00,12.54
2024/02/14,00:00,10.81
2024/02/14,01:00,8.51
2024/02/14,02:00,6.08
2024/02/14,03:00,3.96
2024/02/14,04:00,2.3
2024/02/14,05:00,1.3
2024/02/14,06:00,1.7
2024/02/14,07:00,4.04
2024/02/14,08:00,7.74
2024/02/14,09:00,11.22
2024/02/14,10:00,13.04
2024/02/14,11:00,12.93
2024/02/14,12:00,11.53
2024/02/14,13:00,9.44
2024/02/14,14:00,7.06
2024/02/14,15:00,4.82
2024/02/14,16:00,2.98
2024/02/14,17:00,1.66
2024/02/14,18:00,1.42
2024/02/14,19:00,2.94
2024/02/14,20:00,6.09
2024/02/14,21:00,9.61
2024/02/14,22:00,11.96
2024/02/14,23:00,12.44
2024/02/15,00:00,11.43
2024/02/15,01:00,9.67
2024/02/15,02:00,7.53
2024/02/15,03:00,5.43
2024/02/15,04:00,3.71
2024/02/15,05:00,2.48
2024/02/15,06:00,2.06
2024/02/15,07:00,3.04
2024/02/15,08:00,5.57
2024/02/15,09:00,8.83
2024/02/15,10:00,11.41
2024/02/15,11:00,12.34
2024/02/15,12:00,11.76
2024/02/15,13:00,10.3
2024/02/15,14:00,8.38
2024/02/15,15:00,6.32
2024/02/15,16:00,4.5
2024/02/15,17:00,3.11
2024/02/15,18:00,2.35
2024/02/15,19:00,2.73
2024/02/15,20:00,4.57
2024/02/15,21:00,7.45
2024/02/15,22:00,10.14
2024/02/15,23:00,11.53
2024/02/16,00:00,11.36
2024/02/16,01:00,10.22
2024/02/16,02:00,8.59
2024/02/16,03:00,6.78
2024/02/16,04:00,5.13
2024/02/16,05:00,3.86
2024/02/16,06:00,3.13
2024/02/16,07:00,3.21
2024/02/16,08:00,4.48
2024/02/16,09:00,6.79
2024/02/16,10:00,9.31
2024/02/16,11:00,10.95
2024/02/16,12:00,11.24
2024/02/16,13:00,10.48
2024/02/16,14:00,9.16
2024/02/16,15:00,7.55
2024/02/16,16:00,5.94
2024/02/16,17:00,4.58
2024/02/16,18:00,3.66
2024/02/16,19:00,3.41
2024/02/16,20:00,4.15
2024/02/16,21:00,5.93
2024/02/16,22:00,8.21
2024/02/16,23:00,10.01
2024/02/17,00:00,10.66
2024/02/17,01:00,10.26
2024/02/17,02:00,9.21
2024/02/17,03:00,7.87
2024/02/17,04:00,6.47
2024/02/17,05:00,5.26
2024/02/17,06:00,4.4
2024/02/17,07:00,4.02
2024/02/17,08:00,4.36
2024/02/17,09:00,5.55
2024/02/17,10:00,7.35
2024/02/17,11:00,9.08
2024/02/17,12:00,10.05
2024/02/17,13:00,10.1
2024/02/17,14:00,9.45
2024/02/17,15:00,8.41
2024/02/17,16:00,7.2
2024/02/17,17:00,6.02
2024/02/17,18:00,5.04
2024/02/17,19:00,4.46
2024/02/17,20:00,4.46
2024/02/17,21:00,5.21
2024/02/17,22:00,6.62
2024/02/17,23:00,8.22
2024/02/18,00:00,9.36
2024/02/18,01:00,9.76
2024/02/18,02:00,9.45
2024/02/18,03:00,8.67
2024/02/18,04:00,7.69
2024/02/18,05:00,6.68
2024/02/18,06:00,5.76
2024/02/18,07:00,5.09
2024/02/18,08:00,4.82
2024/02/18,09:00,5.08
2024/02/18,10:00,5.94
2024/02/18,11:00,7.16
2024/02/18,12:00,8.34
2024/02/18,13:00,9.09
2024/02/18,14:00,9.27
2024/02/18,15:00,8.93
2024/02/18,16:00,8.25
2024/02/18,17:00,7.4
2024/02/18,18:00,6.49
2024/02/18,19:00,5.68
2024/02/18,20:00,5.16
2024/02/18,21:00,5.11
2024/02/18,22:00,5.61
2024/02/18,23:00,6.54
2024/02/19,00:00,7.62
2024/02/19,01:00,8.59
2024/02/19,02:00,9.13
2024/02/19,03:00,9.14
2024/02/19,04:00,8.72
2024/02/19,05:00,8.05
2024/02/19,06:00,7.24
2024/02/19,07:00,6.38
2024/02/19,08:00,5.64
2024/02/19,09:00,5.21
2024/02/19,10:00,5.2
2024/02/19,11:00,5.64
2024/02/19,12:00,6.45
2024/02/19,13:00,7.47
2024/02/19,14:00,8.42
2024/02/19,15:00,8.97
2024/02/19,16:00,9.01
2024/02/19,17:00,8.64
2024/02/19,18:00,7.98
2024/02/19,19:00,7.1
2024/02/19,20:00,6.19
2024/02/19,21:00,5.5
2024/02/19,22:00,5.2
2024/02/19,23:00,5.33
2024/02/20,00:00,5.87
2024/02/20,01:00,6.86
2024/02/20,02:00,8.04
2024/02/20,03:00,8.99
2024/02/20,04:00,9.39
2024/02/20,05:00,9.24
2024/02/20,06:00,8.71
2024/02/20,07:00,7.85
2024/02/20,08:00,6.79
2024/02/20,09:00,5.79
2024/02/20,10:00,5.09
2024/02/20,11:00,4.76
2024/02/20,12:00,4.89
2024/02/20,13:00,5.6
2024/02/20,14:00,6.86
2024/02/20,15:00,8.25
2024/02/20,16:00,9.23
2024/02/20,17:00,9.56
2024/02/20,18:00,9.33
2024/02/20,19:00,8.62
2024/02/20,20:00,7.52
2024/02/20,21:00,6.32
2024/02/20,22:00,5.35
2024/02/20,23:00,4.77
2024/02/21,00:00,4.6
2024/02/21,01:00,5.08
2024/02/21,02:00,6.31
2024/02/21,03:00,7.95
2024/02/21,04:00,9.35
2024/02/21,05:00,10.03
2024/02/21,06:00,9.98
2024/02/21,07:00,9.33
2024/02/21,08:00,8.2
2024/02/21,09:00,6.79
2024/02/21,10:00,5.51
2024/02/21,11:00,4.56
2024/02/21,12:00,4.01
2024/02/21,13:00,4.05
2024/02/21,14:00,5
2024/02/21,15:00,6.74
2024/02/21,16:00,8.62
2024/02/21,17:00,9.91
2024/02/21,18:00,10.34
2024/02/21,19:00,9.99
2024/02/21,20:00,8.99
2024/02/21,21:00,7.52
2024/02/21,22:00,6.01
2024/02/21,23:00,4.82
2024/02/22,00:00,4.02
2024/02/22,01:00,3.79
2024/02/22,02:00,4.5
2024/02/22,03:00,6.23
2024/02/22,04:00,8.39
2024/02/22,05:00,10.1
2024/02/22,06:00,10.83
2024/02/22,07:00,10.6
2024/02/22,08:00,9.63
2024/02/22,09:00,8.09
2024/02/22,10:00,6.37
2024/02/22,11:00,4.91
2024/02/22,12:00,3.83
2024/02/22,13:00,3.2
2024/02/22,14:00,3.44
2024/02/22,15:00,4.89
2024/02/22,16:00,7.19
2024/02/22,17:00,9.43
2024/02/22,18:00,10.77
2024/02/22,19:00,11.01
2024/02/22,20:00,10.32
2024/02/22,21:00,8.89
2024/02/22,22:00,7.06
2024/02/22,23:00,5.37
2024/02/23,00:00,4.07
2024/02/23,01:00,3.22
2024/02/23,02:00,3.17
2024/02/23,03:00,4.39
2024/02/23,04:00,6.72
2024/02/23,05:00,9.28
2024/02/23,06:00,11.02
2024/02/23,07:00,11.49
2024/02/23,08:00,10.86
2024/02/23,09:00,9.44
2024/02/23,10:00,7.54
2024/02/23,11:00,5.66
2024/02/23,12:00,4.17
2024/02/23,13:00,3.06
2024/02/23,14:00,2.56
2024/02/23,15:00,3.28
2024/02/23,16:00,5.37
2024/02/23,17:00,8.14
2024/02/23,18:00,10.46
2024/02/23,19:00,11.54
2024/02/23,20:00,11.34
2024/02/23,21:00,10.16
2024/02/23,22:00,8.31
2024/02/23,23:00,6.27
2024/02/24,00:00,4.55
2024/02/24,01:00,3.27
2024/02/24,02:00,2.55
2024/02/24,03:00,2.96
2024/02/24,04:00,4.88
2024/02/24,05:00,7.75
2024/02/24,06:00,10.42
2024/02/24,07:00,11.84
2024/02/24,08:00,11.79
2024/02/24,09:00,10.66
2024/02/24,10:00,8.81
2024/02/24,11:00,6.7
2024/02/24,12:00,4.83
2024/02/24,13:00,3.39
2024/02/24,14:00,2.37
2024/02/24,15:00,2.27
2024/02/24,16:00,3.69
2024/02/24,17:00,6.42
2024/02/24,18:00,9.41
2024/02/24,19:00,11.45
2024/02/24,20:00,11.96
2024/02/24,21:00,11.19
2024/02/24,22:00,9.53
2024/02/24,23:00,7.39
2024/02/25,00:00,5.31
2024/02/25,01:00,3.69
2024/02/25,02:00,2.52
2024/02/25,03:00,2.18
2024/02/25,04:00,3.32
2024/02/25,05:00,5.97
2024/02/25,06:00,9.14
2024/02/25,07:00,11.52
2024/02/25,08:00,12.31
2024/02/25,09:00,11.63
2024/02/25,10:00,10.01
2024/02/25,11:00,7.88
2024/02/25,12:00,5.73
2024/02/25,13:00,3.98
2024/02/25,14:00,2.65
2024/02/25,15:00,1.92
2024/02/25,16:00,2.49
2024/02/25,17:00,4.71
2024/02/25,18:00,7.89
2024/02/25,19:00,10.71
2024/02/25,20:00,12.11
2024/02/25,21:00,11.91
2024/02/25,22:00,10.56
2024/02/25,23:00,8.54
2024/02/26,00:00,6.28
2024/02/26,01:00,4.34
2024/02/26,02:00,2.88
2024/02/26,03:00,2.01
2024/02/26,04:00,2.32
2024/02/26,05:00,4.33
2024/02/26,06:00,7.52
2024/02/26,07:00,10.58
2024/02/26,08:00,12.3
2024/02/26,09:00,12.28
2024/02/26,10:00,11
2024/02/26,11:00,9.03
2024/02/26,12:00,6.78
2024/02/26,13:00,4.75
2024/02/26,14:00,3.19
2024/02/26,15:00,2.09
2024/02/26,16:00,1.92
2024/02/26,17:00,3.37
2024/02/26,18:00,6.27
2024/02/26,19:00,9.5
2024/02/26,20:00,11.73
2024/02/26,21:00,12.26
2024/02/26,22:00,11.34
2024/02/26,23:00,9.56
2024/02/27,00:00,7.34
2024/02/27,01:00,5.16
2024/02/27,02:00,3.45
2024/02/27,03:00,2.27
2024/02/27,04:00,1.95
2024/02/27,05:00,3.14
2024/02/27,06:00,5.91
2024/02/27,07:00,9.23
2024/02/27,08:00,11.72
2024/02/27,09:00,12.51
2024/02/27,10:00,11.71
2024/02/27,11:00,9.99
2024/02/27,12:00,7.85
2024/02/27,13:00,5.66
2024/02/27,14:00,3.86
2024/02/27,15:00,2.56
2024/02/27,16:00,1.93
2024/02/27,17:00,2.58
2024/02/27,18:00,4.87
2024/02/27,19:00,8.08
2024/02/27,20:00,10.87
2024/02/27,21:00,12.17
2024/02/27,22:00,11.81
2024/02/27,23:00,10.35
2024/02/28,00:00,8.32
2024/02/28,01:00,6.11
2024/02/28,02:00,4.17
2024/02/28,03:00,2.79
2024/02/28,04:00,2.09
2024/02/28,05:00,2.56
2024/02/28,06:00,4.61
2024/02/28,07:00,7.75
2024/02/28,08:00,10.68
2024/02/28,09:00,12.23
2024/02/28,10:00,12.07
2024/02/28,11:00,10.69
2024/02/28,12:00,8.76
2024/02/28,13:00,6.62
2024/02/28,14:00,4.66
2024/02/28,15:00,3.19
2024/02/28,16:00,2.32
2024/02/28,17:00,2.39
2024/02/28,18:00,3.93
2024/02/28,19:00,6.73
2024/02/28,20:00,9.71
2024/02/28,21:00,11.63
2024/02/28,22:00,11.91
2024/02/28,23:00,10.86
2024/02/29,00:00,9.1
2024/02/29,01:00,7.05
2024/02/29,02:00,5.04
2024/02/29,03:00,3.47
2024/02/29,04:00,2.56
2024/02/29,05:00,2.53
2024/02/29,06:00,3.82
2024/02/29,07:00,6.43
2024/02/29,08:00,9.41
2024/02/29,09:00,11.49
2024/02/29,10:00,11.99
2024/02/29,11:00,11.08
2024/02/29,12:00,9.43
2024/02/29,13:00,7.49
2024/02/29,14:00,5.53
2024/02/29,15:00,3.93
2024/02/29,16:00,2.92
2024/02/29,17:00,2.65
2024/02/29,18:00,3.51
2024/02/29,19:00,5.68
2024/02/29,20:00,8.49
2024/02/29,21:00,10.75
2024/02/29,22:00,11.61
2024/02/29,23:00,11.06
